local_government_code,postal_code_5digit,postal_code_7digit,prefecture_kana,address1_kana,address2_kana,prefecture_kanji,address1_kanji,address2_kanji,is_address2_has_multiple_postal_code,is_address2_has_multiple_sublocality,is_address2_includes_chome,is_postal_code_has_multiple_address2,updated_type,updated_reason_type
28226,65622,6562211,ﾋｮｳｺﾞｹﾝ,ｱﾜｼﾞｼ,ｺｳﾘｭｳｼﾞ,兵庫県,淡路市,興隆寺,0,0,0,0,0,0
28226,65622,6562212,ﾋｮｳｺﾞｹﾝ,ｱﾜｼﾞｼ,ｻﾉ,兵庫県,淡路市,佐野,0,0,0,0,0,0
28226,65622,6562213,ﾋｮｳｺﾞｹﾝ,ｱﾜｼﾞｼ,ｻﾉﾆｲｼﾞﾏ,兵庫県,淡路市,佐野新島,0,0,0,0,0,0
28226,65622,6562214,ﾋｮｳｺﾞｹﾝ,ｱﾜｼﾞｼ,ﾂﾅﾉｻﾄ,兵庫県,淡路市,津名の郷,0,0,0,0,0,0
28226,65622,6562221,ﾋｮｳｺﾞｹﾝ,ｱﾜｼﾞｼ,ﾅｶﾞｻﾜ,兵庫県,淡路市,長沢,0,0,0,0,0,0
28226,65622,6562222,ﾋｮｳｺﾞｹﾝ,ｱﾜｼﾞｼ,ﾉﾀｵ,兵庫県,淡路市,野田尾,0,0,0,0,0,0
28226,65622,6562223,ﾋｮｳｺﾞｹﾝ,ｱﾜｼﾞｼ,ｲｸﾎ,兵庫県,淡路市,生穂,0,0,0,0,0,0
28226,65622,6562224,ﾋｮｳｺﾞｹﾝ,ｱﾜｼﾞｼ,ｵｵﾀﾆ,兵庫県,淡路市,大谷,0,0,0,0,0,0
28226,65622,6562225,ﾋｮｳｺﾞｹﾝ,ｱﾜｼﾞｼ,ｲｸﾎﾆｲｼﾞﾏ,兵庫県,淡路市,生穂新島,0,0,0,0,0,0
