local_government_code,postal_code_5digit,postal_code_7digit,prefecture_kana,address1_kana,address2_kana,prefecture_kanji,address1_kanji,address2_kanji,is_address2_has_multiple_postal_code,is_address2_has_multiple_sublocality,is_address2_includes_chome,is_postal_code_has_multiple_address2,updated_type,updated_reason_type
16202,93901,9390115,ﾄﾔﾏｹﾝ,ﾀｶｵｶｼ,ﾌｸｵｶﾏﾁｼﾓﾐﾉ(ｼﾝｻｶｴﾏﾁ),富山県,高岡市,福岡町下蓑（新栄町）,1,0,0,1,0,0
16202,93901,9390115,ﾄﾔﾏｹﾝ,ﾀｶｵｶｼ,ﾌｸｵｶﾏﾁｼﾓﾐﾉｼﾝ,富山県,高岡市,福岡町下蓑新,1,0,0,1,0,0
16202,93901,9390115,ﾄﾔﾏｹﾝ,ﾀｶｵｶｼ,ﾌｸｵｶﾏﾁｼﾓﾐﾉｼﾝ(ｼﾝｻｶｴﾏﾁ),富山県,高岡市,福岡町下蓑新（新栄町）,1,0,0,1,0,0
16202,93901,9390115,ﾄﾔﾏｹﾝ,ﾀｶｵｶｼ,ﾌｸｵｶﾏﾁﾌｸｵｶｼﾝ(ｼﾝｻｶｴﾏﾁ),富山県,高岡市,福岡町福岡新（新栄町）,1,0,0,1,0,0
