local_government_code,postal_code_5digit,postal_code_7digit,prefecture_kana,address1_kana,address2_kana,prefecture_kanji,address1_kanji,address2_kanji,is_address2_has_multiple_postal_code,is_address2_has_multiple_sublocality,is_address2_includes_chome,is_postal_code_has_multiple_address2,updated_type,updated_reason_type
15202,94023,9402301,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ﾐﾔｻﾞﾜ,新潟県,長岡市,宮沢,0,0,0,0,0,0
15202,94023,9402302,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ﾌｼﾞｶﾜ,新潟県,長岡市,藤川,0,0,0,0,0,0
15202,94023,9402303,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ｳﾘｭｳ,新潟県,長岡市,瓜生,0,0,0,0,0,0
15202,94023,9402304,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ｼﾓｶﾜﾈｶﾞﾜ,新潟県,長岡市,下河根川,0,0,0,0,0,0
15202,94023,9402305,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ｵｵﾉ,新潟県,長岡市,大野,0,0,0,0,0,0
15202,94023,9402306,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ﾜｷﾉﾏﾁ,新潟県,長岡市,脇野町,0,0,0,0,0,0
15202,94023,9402311,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ﾐｼﾏｼﾝﾎﾞ,新潟県,長岡市,三島新保,0,0,0,0,0,0
15202,94023,9402312,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ﾐｼﾏﾅｶｼﾞｮｳ,新潟県,長岡市,三島中条,0,0,0,0,0,0
15202,94023,9402313,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ﾖｼｻﾞｷ,新潟県,長岡市,吉崎,0,0,0,0,0,0
15202,94023,9402314,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ｶﾐｲﾜｲ,新潟県,長岡市,上岩井,0,0,0,0,0,0
15202,94023,9402315,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ﾅﾉｶｲﾁ,新潟県,長岡市,七日市,0,0,0,0,0,0
15202,94023,9402316,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ﾄﾘｺﾞｴ,新潟県,長岡市,鳥越,0,0,0,0,0,0
15202,94023,9402321,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ｻｶｼﾀﾞﾆ,新潟県,長岡市,逆谷,0,0,0,0,0,0
15202,94023,9402322,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ｷｲﾉﾐﾔ,新潟県,長岡市,気比宮,0,0,0,0,0,0
15202,94023,9402323,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ﾐｼﾏｼﾞｮｳｼﾞｮｳ,新潟県,長岡市,三島上条,0,0,0,0,0,0
15202,94023,9402324,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ﾁｭｳｴｲ,新潟県,長岡市,中永,0,0,0,0,0,0
15202,94023,9402325,ﾆｲｶﾞﾀｹﾝ,ﾅｶﾞｵｶｼ,ﾚﾝｹﾞｼﾞ,新潟県,長岡市,蓮花寺,0,0,0,0,0,0
