local_government_code,postal_code_5digit,postal_code_7digit,prefecture_kana,address1_kana,address2_kana,prefecture_kanji,address1_kanji,address2_kanji,is_address2_has_multiple_postal_code,is_address2_has_multiple_sublocality,is_address2_includes_chome,is_postal_code_has_multiple_address2,updated_type,updated_reason_type
31364,68203,6820301,ﾄｯﾄﾘｹﾝ,ﾄｳﾊｸｸﾞﾝﾐｻｻﾁｮｳ,ｷｼﾞﾔﾏ,鳥取県,東伯郡三朝町,木地山,0,0,0,0,0,0
31364,68203,6820302,ﾄｯﾄﾘｹﾝ,ﾄｳﾊｸｸﾞﾝﾐｻｻﾁｮｳ,ｶﾀﾞﾆ,鳥取県,東伯郡三朝町,加谷,0,0,0,0,0,0
31364,68203,6820303,ﾄｯﾄﾘｹﾝ,ﾄｳﾊｸｸﾞﾝﾐｻｻﾁｮｳ,ｱﾅｶﾞﾓ,鳥取県,東伯郡三朝町,穴鴨,0,0,0,0,0,0
31364,68203,6820311,ﾄｯﾄﾘｹﾝ,ﾄｳﾊｸｸﾞﾝﾐｻｻﾁｮｳ,ﾌｸﾔﾏ,鳥取県,東伯郡三朝町,福山,0,0,0,0,0,0
31364,68203,6820312,ﾄｯﾄﾘｹﾝ,ﾄｳﾊｸｸﾞﾝﾐｻｻﾁｮｳ,ｼﾓﾆｼﾀﾞﾆ,鳥取県,東伯郡三朝町,下西谷,0,0,0,0,0,0
31364,68203,6820313,ﾄｯﾄﾘｹﾝ,ﾄｳﾊｸｸﾞﾝﾐｻｻﾁｮｳ,ｶﾐﾆｼﾀﾞﾆ,鳥取県,東伯郡三朝町,上西谷,0,0,0,0,0,0
31364,68203,6820314,ﾄｯﾄﾘｹﾝ,ﾄｳﾊｸｸﾞﾝﾐｻｻﾁｮｳ,ﾀｼﾛ,鳥取県,東伯郡三朝町,田代,0,0,0,0,0,0
31364,68203,6820315,ﾄｯﾄﾘｹﾝ,ﾄｳﾊｸｸﾞﾝﾐｻｻﾁｮｳ,ｵｵﾀﾆ,鳥取県,東伯郡三朝町,大谷,0,0,0,0,0,0
31364,68203,6820316,ﾄｯﾄﾘｹﾝ,ﾄｳﾊｸｸﾞﾝﾐｻｻﾁｮｳ,ｼﾓﾊﾞﾀ,鳥取県,東伯郡三朝町,下畑,0,0,0,0,0,0
31364,68203,6820317,ﾄｯﾄﾘｹﾝ,ﾄｳﾊｸｸﾞﾝﾐｻｻﾁｮｳ,ﾌｸﾓﾄ,鳥取県,東伯郡三朝町,福本,0,0,0,0,0,0
31364,68201,6820374,ﾄｯﾄﾘｹﾝ,ﾄｳﾊｸｸﾞﾝﾐｻｻﾁｮｳ,ｿｳｹﾞﾝｼﾞ,鳥取県,東伯郡三朝町,曹源寺,0,0,0,0,0,0
31364,68201,6820375,ﾄｯﾄﾘｹﾝ,ﾄｳﾊｸｸﾞﾝﾐｻｻﾁｮｳ,ｸﾊﾞﾗ,鳥取県,東伯郡三朝町,久原,0,0,0,0,0,0
