local_government_code,postal_code_5digit,postal_code_7digit,prefecture_kana,address1_kana,address2_kana,prefecture_kanji,address1_kanji,address2_kanji,is_address2_has_multiple_postal_code,is_address2_has_multiple_sublocality,is_address2_includes_chome,is_postal_code_has_multiple_address2,updated_type,updated_reason_type
31201,68903,6890331,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳﾊﾏﾑﾗ,鳥取県,鳥取市,気高町浜村,0,0,0,0,0,0
31201,68903,6890332,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳｶﾁﾐ,鳥取県,鳥取市,気高町勝見,0,0,0,0,0,0
31201,68903,6890333,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳｼﾝﾏﾁ,鳥取県,鳥取市,気高町新町,0,0,1,0,0,0
31201,68903,6890334,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳｷﾀﾊﾏ,鳥取県,鳥取市,気高町北浜,0,0,1,0,0,0
31201,68903,6890341,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳｵﾛｼﾞ,鳥取県,鳥取市,気高町下石,0,0,0,0,0,0
31201,68903,6890342,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳﾄﾉ,鳥取県,鳥取市,気高町殿,0,0,0,0,0,0
31201,68903,6890343,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳｲｲｻﾞﾄ,鳥取県,鳥取市,気高町飯里,0,0,0,0,0,0
31201,68903,6890344,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳｶﾝﾊﾞﾗ,鳥取県,鳥取市,気高町上原,0,0,0,0,0,0
31201,68903,6890345,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳﾔﾏﾐﾔ,鳥取県,鳥取市,気高町山宮,0,0,0,0,0,0
31201,68903,6890351,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳﾔﾜﾀ,鳥取県,鳥取市,気高町八幡,0,0,0,0,0,0
31201,68903,6890352,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳﾀｶｴ,鳥取県,鳥取市,気高町高江,0,0,0,0,0,0
31201,68903,6890353,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳｺｳｹﾞ,鳥取県,鳥取市,気高町郡家,0,0,0,0,0,0
31201,68903,6890354,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳﾑﾂｵ,鳥取県,鳥取市,気高町睦逢,0,0,0,0,0,0
31201,68903,6890355,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳｴｹﾞ,鳥取県,鳥取市,気高町会下,0,0,0,0,0,0
31201,68903,6890356,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳｼﾓﾊﾞﾗ,鳥取県,鳥取市,気高町下原,0,0,0,0,0,0
31201,68903,6890357,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,ｹﾀｶﾁｮｳﾔﾂｶﾐ,鳥取県,鳥取市,気高町八束水,0,0,0,0,0,0
