code,postal_old,postal_new,pref_kana,address1_kana,address2_kana,pref,address1,address2,is_multi_code,is_koaza,is_choume,is_multi_place,is_updated,update_reason
05348,01824,0182400,ｱｷﾀｹﾝ,ﾔﾏﾓﾄｸﾞﾝﾐﾀﾈﾁｮｳ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,秋田県,山本郡三種町,以下に掲載がない場合,0,0,0,0,0,0
05348,01824,0182401,ｱｷﾀｹﾝ,ﾔﾏﾓﾄｸﾞﾝﾐﾀﾈﾁｮｳ,ｳｶﾜ,秋田県,山本郡三種町,鵜川,0,1,0,0,0,0
05348,01824,0182402,ｱｷﾀｹﾝ,ﾔﾏﾓﾄｸﾞﾝﾐﾀﾈﾁｮｳ,ｶﾜｼﾘ,秋田県,山本郡三種町,川尻,0,1,0,0,0,0
05348,01824,0182403,ｱｷﾀｹﾝ,ﾔﾏﾓﾄｸﾞﾝﾐﾀﾈﾁｮｳ,ｸﾒｵｶｼﾝﾃﾞﾝ,秋田県,山本郡三種町,久米岡新田,0,1,0,0,0,0
05348,01824,0182404,ｱｷﾀｹﾝ,ﾔﾏﾓﾄｸﾞﾝﾐﾀﾈﾁｮｳ,ﾄﾐｵｶｼﾝﾃﾞﾝ,秋田県,山本郡三種町,富岡新田,0,1,0,0,0,0
05348,01824,0182405,ｱｷﾀｹﾝ,ﾔﾏﾓﾄｸﾞﾝﾐﾀﾈﾁｮｳ,ｱｼｻﾞｷ,秋田県,山本郡三種町,芦崎,0,1,0,0,0,0
05348,01824,0182406,ｱｷﾀｹﾝ,ﾔﾏﾓﾄｸﾞﾝﾐﾀﾈﾁｮｳ,ｵｵｸﾁ,秋田県,山本郡三種町,大口,0,1,0,0,0,0
05348,01824,0182407,ｱｷﾀｹﾝ,ﾔﾏﾓﾄｸﾞﾝﾐﾀﾈﾁｮｳ,ﾊﾏﾀﾞ,秋田県,山本郡三種町,浜田,0,1,0,0,0,0
