local_government_code,postal_code_5digit,postal_code_7digit,prefecture_kana,address1_kana,address2_kana,prefecture_kanji,address1_kanji,address2_kanji,is_address2_has_multiple_postal_code,is_address2_has_multiple_sublocality,is_address2_includes_chome,is_postal_code_has_multiple_address2,updated_type,updated_reason_type
23446,47024,4702401,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ﾌｯﾄ,愛知県,知多郡美浜町,布土,0,1,0,0,0,0
23446,47024,4702402,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ﾄｷｼ,愛知県,知多郡美浜町,時志,0,1,0,0,0,0
23446,47024,4702403,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ｷﾀｶﾞﾀ,愛知県,知多郡美浜町,北方,0,1,0,0,0,0
23446,47024,4702404,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ｺｳﾜ,愛知県,知多郡美浜町,河和,0,1,0,0,0,0
23446,47024,4702405,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ｺｳﾜﾀﾞｲ,愛知県,知多郡美浜町,河和台,0,0,1,0,0,0
23446,47024,4702406,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ｺｳﾜ(ｷﾀﾀﾞﾒﾝ),愛知県,知多郡美浜町,河和（北田面）,1,0,0,0,0,0
23446,47024,4702407,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ｺｳﾜ(ｷﾀﾔｼｷ),愛知県,知多郡美浜町,河和（北屋敷）,1,0,0,0,0,0
23446,47024,4702408,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ｺｳﾜ(ﾐﾅﾐﾔｼｷ),愛知県,知多郡美浜町,河和（南屋敷）,1,0,0,0,0,0
23446,47024,4702409,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ｺｳﾜ(ｶﾐﾏｴﾀﾞ),愛知県,知多郡美浜町,河和（上前田）,1,0,0,0,0,0
23446,47024,4702411,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ｼﾝｳﾗﾄ,愛知県,知多郡美浜町,新浦戸,0,0,1,0,0,0
23446,47024,4702412,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ｳﾗﾄ,愛知県,知多郡美浜町,浦戸,0,1,0,0,0,0
23446,47024,4702413,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ｺｳ,愛知県,知多郡美浜町,古布,0,1,0,0,0,0
23446,47024,4702414,ｱｲﾁｹﾝ,ﾁﾀｸﾞﾝﾐﾊﾏﾁｮｳ,ﾄﾖｵｶ,愛知県,知多郡美浜町,豊丘,0,1,0,0,0,0
