local_government_code,postal_code_5digit,postal_code_7digit,prefecture_kana,address1_kana,address2_kana,prefecture_kanji,address1_kanji,address2_kanji,is_address2_has_multiple_postal_code,is_address2_has_multiple_sublocality,is_address2_includes_chome,is_postal_code_has_multiple_address2,updated_type,updated_reason_type
06201,99021,9902161,ﾔﾏｶﾞﾀｹﾝ,ﾔﾏｶﾞﾀｼ,ｳﾙｼﾔﾏ,山形県,山形市,漆山,0,1,0,0,0,0
06201,99021,9902162,ﾔﾏｶﾞﾀｹﾝ,ﾔﾏｶﾞﾀｼ,ｱｹﾎﾞﾉ,山形県,山形市,あけぼの,0,0,1,0,0,0
06201,99021,9902163,ﾔﾏｶﾞﾀｹﾝ,ﾔﾏｶﾞﾀｼ,ﾀﾞﾃｼﾞｮｳ,山形県,山形市,伊達城,0,0,1,0,0,0
06201,99021,9902164,ﾔﾏｶﾞﾀｹﾝ,ﾔﾏｶﾞﾀｼ,ｼﾝｶｲ,山形県,山形市,新開,0,0,0,0,0,0
06201,99021,9902171,ﾔﾏｶﾞﾀｹﾝ,ﾔﾏｶﾞﾀｼ,ﾅﾅｳﾗ,山形県,山形市,七浦,0,1,0,0,0,0
06201,99021,9902172,ﾔﾏｶﾞﾀｹﾝ,ﾔﾏｶﾞﾀｼ,ｾﾝｼﾞｭﾄﾞｳ,山形県,山形市,千手堂,0,1,0,0,0,0
06201,99021,9902173,ﾔﾏｶﾞﾀｹﾝ,ﾔﾏｶﾞﾀｼ,ｼﾌﾞｴ,山形県,山形市,渋江,0,1,0,0,0,0
06201,99021,9902174,ﾔﾏｶﾞﾀｹﾝ,ﾔﾏｶﾞﾀｼ,ﾊｲﾂﾞｶ,山形県,山形市,灰塚,0,0,0,0,0,0
06201,99021,9902175,ﾔﾏｶﾞﾀｹﾝ,ﾔﾏｶﾞﾀｼ,ﾅｶﾉﾒ,山形県,山形市,中野目,0,0,0,0,0,0
